step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11,dof_pos_0,dof_pos_1,dof_pos_2,dof_pos_3,dof_pos_4,dof_pos_5,dof_pos_6,dof_pos_7,dof_pos_8,dof_pos_9,dof_pos_10,dof_pos_11,dof_vel_0,dof_vel_1,dof_vel_2,dof_vel_3,dof_vel_4,dof_vel_5,dof_vel_6,dof_vel_7,dof_vel_8,dof_vel_9,dof_vel_10,dof_vel_11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1.6,-0.8,0.0,0.0,0.0,-0.8,1.6,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-4.236729e-06,-0.007948077,-1.6194454e-06,5.07107e-10,2.075827e-20,-1.0,1.0,0.0,0.0,-8.5621316e-08,-4.7636032e-08,-0.00014179945,0.00036466122,-0.00019103289,7.663264e-07,1.4361774e-08,3.0844507e-08,-0.00014168024,0.000364542,-0.00019103289,-3.4388776e-08,-4.2810657e-06,-2.3818018e-06,-0.007089533,0.018232439,-0.009552402,3.8316324e-05,7.180887e-07,1.5422255e-06,-0.007085928,0.018227074,-0.009551685,-1.7194388e-06,0.063118465,-0.33331612,0.6195747,-0.31397992,-1.1507593,0.08157993,-0.07831994,0.7041561,-0.19644365,0.49323922,-1.0955786,0.08636641,3.84750130436434e-16,-9.130233181599585e-16,2.4278254961984658e-06,7.5100796692595395e-06,1.6622490051076966e-06,2.167010487741222e-16,2.1397136408921143e-16,-6.625507892921531e-16,2.4278254961984658e-06,7.5100796692595395e-06,1.6622490051076966e-06,-7.920026883640448e-17,-8.5621316e-08,-4.7636032e-08,-0.8001418,1.6003647,-0.80019104,7.663264e-07,1.4361774e-08,3.0844507e-08,-0.8001417,1.6003646,-0.80019104,-3.4388776e-08,-8.5621316e-05,-4.7636033e-05,-0.14179066,0.36464876,-0.19104804,0.00076632644,1.43617735e-05,3.084451e-05,-0.14171857,0.36454147,-0.1910337,-3.4388777e-05
2,-0.18693848,-0.12538591,0.13490282,-0.0028553563,0.0041299765,-0.9999874,1.0,0.0,0.0,0.020883426,0.002907211,0.0068175793,0.01806748,-0.084766924,0.047989283,-0.023817968,0.012799791,-0.017099202,0.037816048,-0.1081993,0.06380082,0.12856577,0.033225875,0.078810014,0.12677325,-0.7706784,0.3025031,-0.108208016,0.11157483,-0.14088455,0.31938553,-0.97386116,0.4390936,-0.021345252,-0.41330275,0.172686,-0.25467044,-1.887205,-0.17602125,0.3333403,0.31023556,-0.6727686,0.6265784,-1.5610511,-0.11509938,186.27883660032455,200.0,-109.41721172625219,200.0,-200.0,-200.0,-200.0,-200.0,200.0,-200.0,-200.0,-200.0,0.020883426,0.002907211,-0.79318243,1.6180675,-0.88476694,0.047989283,-0.023817968,0.012799791,-0.8170992,1.6378161,-0.9081993,0.06380082,2.5713153,0.66451746,1.5762002,2.535465,-15.413568,6.050062,-2.1641603,2.2314966,-2.8176908,6.3877106,-19.477222,8.781872
3,-0.37382308,-0.07852694,0.03958686,-0.007581101,0.015629118,-0.99984914,1.0,0.0,0.0,0.012585126,0.017927587,0.03715849,0.032562375,-0.33481604,0.013932062,0.0028328355,0.046364535,-0.06463045,0.13153541,-0.39284962,0.05104748,-0.08229145,0.09864699,0.19298737,0.035708018,-1.639128,-0.39014837,0.34043556,0.21494055,-0.32881618,0.58092296,-1.7363175,-0.33950958,-0.30738592,-0.7570185,0.3410345,-0.5453662,-0.5084432,-0.9070734,0.6122617,-0.26345423,0.6503814,-0.40474617,0.020401707,0.11191235,200.0,200.0,-200.0,200.0,-200.0,-14.172528859593854,10.10689130492166,-200.0,93.22500680621769,-200.0,-200.0,-15.244204833112235,0.012585126,0.017927587,-0.7628415,1.6325624,-1.134816,0.013932062,0.0028328355,0.046364535,-0.86463046,1.7315354,-1.1928496,0.05104748,-1.6458288,1.9729397,3.8597472,0.7141603,-32.78256,-7.8029675,6.808711,4.298811,-6.5763235,11.618459,-34.72635,-6.790191
4,0.15221,-0.7311115,-0.09922331,-0.02256309,0.019552605,-0.9995542,1.0,0.0,0.0,-0.06697998,0.023384392,0.100018084,0.044230938,-0.5578998,-0.13210407,0.123921715,0.058707967,-0.09034824,0.2083782,-0.6351132,0.06187142,-0.59985775,-0.055478364,0.3921071,0.060819175,-0.7279908,-1.0337476,0.8249528,-0.052632928,0.035208978,0.23338942,-0.7827842,0.24836417,0.013947358,-0.62938255,-0.98893934,-0.9473855,0.7758523,-0.31519648,-0.18023391,-0.03651192,-0.18561108,-0.51734066,0.5660461,0.21758848,200.0,-200.0,200.0,-200.0,200.0,117.52630631652156,-200.0,-200.0,119.0791811040068,-200.0,200.0,-200.0,-0.06697998,0.023384392,-0.6999819,1.644231,-1.3578998,-0.13210407,0.123921715,0.058707967,-0.89034826,1.8083782,-1.4351132,0.06187142,-11.997155,-1.1095673,7.842142,1.2163835,-14.559816,-20.674952,16.499056,-1.0526586,0.7041795,4.6677885,-15.655684,4.9672832
5,0.53732866,-0.15667312,-0.074600935,-0.04115976,0.0037108704,-0.9991457,1.0,0.0,0.0,-0.13572805,-0.011635868,0.14821911,0.049146652,-0.6001968,-0.25304154,0.23832564,0.033995587,-0.097851574,0.23657525,-0.6838234,0.113270566,-0.15367179,-0.23510583,0.11020946,0.031224553,0.19095416,-0.5015351,0.36148438,-0.17289469,-0.072713844,0.060252067,0.19561686,0.22622946,1.1412928,0.86686236,-0.7622741,-1.6618178,1.0400859,0.73220026,-1.2521068,1.1208904,-1.0693086,-0.55117434,0.34615108,0.1540846,-200.0,5.249384751711062,-119.04304649678645,-200.0,200.0,-42.02388507038984,200.0,-200.0,-200.0,-200.0,200.0,-162.51157745991628,-0.13572805,-0.011635868,-0.6517809,1.6491467,-1.4001968,-0.25304154,0.23832564,0.033995587,-0.8978516,1.8365753,-1.4838234,0.113270566,-3.0734355,-4.7021165,2.204189,0.62449104,3.8190832,-10.030703,7.229687,-3.4578936,-1.4542768,1.2050413,3.912337,4.524589
6,-0.07683,0.48446938,-0.05843165,-0.033359423,-0.0043361215,-0.999434,1.0,0.0,0.0,-0.10845426,-0.026575109,0.1503275,0.041693687,-0.45707613,-0.24386036,0.2578176,0.028396975,-0.13989347,0.23561358,-0.5369726,0.13003564,0.37524658,0.053967144,-0.06315598,-0.10336017,1.1525933,0.48678023,-0.117668785,0.09169355,-0.32526278,-0.06202128,1.1756777,0.045744073,-0.40624112,0.47094342,0.6724985,-0.9004827,0.3767751,0.7608005,-0.16416597,0.047879495,1.1167096,0.22576818,-0.23765583,-0.12450784,-200.0,200.0,-200.0,-200.0,200.0,1.8522198669796452,200.0,200.0,-200.0,-200.0,200.0,200.0,-0.10845426,-0.026575109,-0.6496725,1.6416937,-1.2570761,-0.24386036,0.2578176,0.028396975,-0.9398935,1.8356136,-1.3369726,0.13003564,7.5049314,1.0793428,-1.2631196,-2.0672033,23.051865,9.735604,-2.3533757,1.833871,-6.5052557,-1.2404256,23.513552,0.9148814
7,-0.1642675,-0.058805645,0.7283142,-0.026110196,0.0019159463,-0.9996572,1.0,0.0,0.0,-0.09001054,-0.011952875,0.17870975,-0.016212344,-0.18511784,-0.04302667,0.1779761,0.058908008,-0.17779976,0.21971953,-0.37491947,0.06752092,-0.14030735,0.07872145,0.3136377,-0.4454978,1.2239642,1.4274601,-0.6075921,0.17278856,-0.07547823,-0.08492054,0.3895132,-0.40871856,-0.1681137,-0.41052923,0.26755738,0.06931062,-1.1385065,0.3138766,0.2366667,-0.23780447,1.1900594,0.60222465,-1.0137149,-0.17444947,-133.13805376184996,-187.70767999249952,200.0,93.57644052146385,-195.54283941136094,18.5926133593577,-200.0,200.0,200.0,-200.0,-101.35687586783001,200.0,-0.09001054,-0.011952875,-0.62129027,1.5837877,-0.98511785,-0.04302667,0.1779761,0.058908008,-0.9777998,1.8197196,-1.1749195,0.06752092,-2.806147,1.5744289,6.272754,-8.909956,24.479284,28.549202,-12.151842,3.4557712,-1.5095646,-1.6984107,7.7902637,-8.174371
8,0.4103013,-0.5161052,0.29280758,-0.036503363,-0.0038820445,-0.999326,1.0,0.0,0.0,-0.12088347,-0.03832581,0.20743692,-0.026623726,-0.16862512,0.14648275,0.11231095,0.06025153,-0.17285693,0.21418667,-0.40553612,-0.036271367,-0.13274412,-0.28549826,0.11389873,0.15972163,-0.6115089,1.1090304,-0.098138295,-0.13118377,0.12163099,0.025437785,-0.5970042,-0.41404858,0.4936884,0.25700328,-1.1386735,-0.07129167,-0.47627938,-0.0015200526,1.222357,0.14201531,-0.38724104,0.33558133,-0.201342,0.059352964,200.0,-200.0,200.0,200.0,-200.0,200.0,70.61718327837791,-200.0,128.96631540278602,200.0,-200.0,200.0,-0.12088347,-0.03832581,-0.5925631,1.5733763,-0.9686251,0.14648275,0.11231095,0.06025153,-0.97285694,1.8141867,-1.2055361,-0.036271367,-2.6548822,-5.709965,2.2779746,3.1944325,-12.230178,22.180607,-1.9627658,-2.6236753,2.4326198,0.5087557,-11.9400835,-8.280972
9,-0.2762942,0.06610282,-0.45333904,-0.04380672,-0.005118721,-0.9990269,1.0,0.0,0.0,-0.082832016,-0.05702828,0.21060824,-0.0013648272,-0.32503408,0.26076016,0.15308315,0.05478809,-0.18986231,0.24280226,-0.41906506,-0.023975765,0.45099503,0.061518557,-0.05585537,0.09051945,-0.7775017,0.13090283,0.4462315,0.056494266,-0.22451834,0.2001257,0.27270433,0.27775916,-0.31414002,0.75167066,-0.13347436,-1.9808022,-0.45260334,-0.6419929,-0.3705927,1.1703271,-0.44934645,0.31049174,-0.12762497,0.8995814,200.0,110.64476720507488,-3.4932428354518947,-200.0,-31.040690337726005,-200.0,200.0,200.0,-200.0,-200.0,200.0,-200.0,-0.082832016,-0.05702828,-0.58939177,1.5986352,-1.1250341,0.26076016,0.15308315,0.05478809,-0.9898623,1.8428023,-1.2190651,-0.023975765,9.0199,1.2303711,-1.1171074,1.810389,-15.550034,2.6180565,8.92463,1.1298853,-4.490367,4.002514,5.454087,5.5551834
