step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44
10,0.003960371,0.13227898,0.056979626,0.017433189,0.00022684452,-0.999848,0.0,0.0,0.0,0.06773001,0.0014455968,-0.059541702,0.05235386,0.124676585,0.06380058,-0.031009767,-0.02306824,-0.039203167,-0.014142394,-0.008623779,0.030113045,0.0125771705,-0.034058493,-0.05439792,0.0049916278,0.042723045,0.006648838,-0.03319085,0.0047867056,-0.039107535,0.0018283097,-0.09678199,-0.0048562796,0.54054534,3.3061912,-1.5787787,0.32210612,-2.0967605,0.3571763,-0.6958178,14.080751,-0.89507425,-0.03680785,-2.8514342,-0.17102972
11,-0.012134216,0.100549035,0.05465938,0.022504125,0.0011196304,-0.9997462,0.0,0.0,0.0,0.070562825,-0.008060605,-0.070292056,0.053339243,0.13414401,0.06521467,-0.03673979,-0.015592693,-0.04652542,-0.013066769,-0.02784735,0.027690299,0.012880216,-0.054196127,-0.043919154,0.004269334,0.049065333,0.0068615205,-0.02408496,0.02602588,-0.03965872,0.023816133,-0.0935451,-0.014913226,0.5825441,3.3377986,-1.5248919,0.43303475,-2.1480143,0.30621234,-0.7728901,14.113826,-0.9107281,-0.039717004,-2.7811244,-0.20151654
12,0.118515186,0.056104176,0.058337234,0.024975503,-0.0014821526,-0.99968696,0.0,0.0,0.0,0.073488496,-0.023768889,-0.0781914,0.05527842,0.1431269,0.0659698,-0.042281277,-0.017494906,-0.05361998,-0.006606102,-0.042819858,0.024469975,0.014415196,-0.09766619,-0.041804098,0.010583755,0.042178895,0.0036309902,-0.02812402,-0.028872613,-0.034003463,0.026506677,-0.04415464,-0.014112169,0.6254372,3.2752817,-1.6072512,0.47447282,-2.1784894,0.3201633,-0.71068597,14.1490755,-0.8639803,-0.14138027,-2.744642,-0.18522683
13,-0.043980792,0.058598414,-0.01788916,0.027371453,-0.0035424568,-0.999619,0.0,0.0,0.0,0.076111585,-0.029947435,-0.0868327,0.05906582,0.15011531,0.066652164,-0.047111366,-0.019592887,-0.059992075,-0.0034546852,-0.041598737,0.02184564,0.013839619,0.0127477,-0.038257446,0.013976949,0.03252055,0.004396181,-0.023609845,0.01795296,-0.03279577,0.014045534,0.036641136,-0.01598311,0.7632681,3.492992,-1.9695702,0.45505488,-2.3264418,0.43935937,-0.5785124,14.172097,-0.74710906,-0.42004395,-2.7456489,-0.11583844
14,-0.117523395,0.052063636,-0.118907854,0.029716462,0.00014846213,-0.9995583,0.0,0.0,0.0,0.07982424,-0.020049598,-0.09584689,0.061829448,0.15606123,0.068525724,-0.05058001,-0.013615149,-0.06525481,-0.0032286644,-0.028409302,0.02002471,0.01969899,0.08259595,-0.04530805,0.010299529,0.030999346,0.011678756,-0.016804945,0.03842205,-0.020718742,-0.0019431895,0.061246347,-0.008811313,0.72329766,3.387241,-1.3330741,0.7245772,-2.3855805,0.29962164,-1.0726577,14.158277,-1.1380044,-0.32842666,-2.1716733,0.23064014
15,-0.024114197,0.059701063,-0.032289412,0.031738076,0.0029776308,-0.9994918,0.0,0.0,0.0,0.08368078,-0.005496697,-0.1019935,0.06566858,0.16308892,0.06958776,-0.058868095,-0.0090415515,-0.06975138,-0.0031342506,-0.02131468,0.022325406,0.019483306,0.0558465,-0.027280888,0.021229817,0.037980713,0.005150769,-0.04178445,0.011073469,-0.022422876,-0.0016195348,0.019218916,0.0076944935,0.41462982,3.2180035,-0.7810406,0.4971455,-2.378216,0.27621457,-1.5096703,14.160189,-1.4142312,-0.14995001,-1.7477913,0.14319578
16,0.040978786,0.0765499,0.09249305,0.034712832,0.0020004644,-0.9993954,0.0,0.0,0.0,0.08452419,0.0013316873,-0.103584945,0.06765401,0.1711641,0.07019594,-0.07122035,-0.009434212,-0.075898886,-0.0024083853,-0.02205205,0.02325504,0.003703799,0.01622813,-0.010589296,0.012169095,0.036498364,-0.00069695065,-0.06160861,-0.007866546,-0.031314146,0.004034802,-0.018593132,0.0047354577,0.2979986,3.0267224,-0.9042422,0.19632375,-2.2427735,0.23298739,-1.3882828,14.283115,-1.2950343,0.18903516,-1.7709675,0.008287162
17,0.14056246,0.030200593,0.18432541,0.036057126,-0.0033478686,-0.9993442,0.0,0.0,0.0,0.08467662,-0.0055013327,-0.10381067,0.06869066,0.17481565,0.070153065,-0.08235852,-0.015530105,-0.08234835,-0.0005084276,-0.029740393,0.02272785,-0.0015257905,-0.043850314,-0.0024316586,0.0048894803,0.010642783,-0.00016395136,-0.053421874,-0.03702546,-0.039089743,0.010405547,-0.043183208,-0.0027833136,0.4600235,2.994687,-1.2813387,0.25804496,-2.2634237,0.2938854,-1.1418631,14.35617,-1.0242307,0.24084778,-1.9975593,0.060273975
18,0.097778894,0.018801214,0.08511238,0.036660288,-0.008950188,-0.9992877,0.0,0.0,0.0,0.08610641,-0.014402942,-0.10505712,0.070653796,0.1764291,0.07100583,-0.09056031,-0.0217058,-0.08539951,0.0010223389,-0.037722647,0.022596918,0.008881251,-0.03480012,-0.008703462,0.008183304,0.0019340912,0.005387004,-0.042021025,0.00043453448,-0.0059877606,0.0088404445,-0.011529255,-0.0012840172,0.6591297,3.41895,-1.7812674,0.13985652,-2.3120325,0.35491386,-0.83935916,14.306595,-0.84981024,-0.00033570826,-2.3736634,-0.13633254
19,0.07866971,0.08482194,-0.01899265,0.039312128,-0.011369059,-0.9991623,0.0,0.0,0.0,0.089378946,-0.01989248,-0.11012405,0.0714246,0.17368388,0.07265975,-0.09548606,-0.014978934,-0.0852083,0.0004658699,-0.033933938,0.020549068,0.015167189,-0.032247584,-0.029265163,0.001879983,-0.02718077,0.008568666,-0.02229205,0.026724482,0.0032537263,-0.0033424702,0.012870306,-0.009862434,0.7257172,3.3954499,-1.5940354,0.33474886,-2.3612738,0.14761563,-0.88536924,14.398358,-0.9460321,0.055813,-2.197772,-0.122330576
