step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11,dof_pos_0,dof_pos_1,dof_pos_2,dof_pos_3,dof_pos_4,dof_pos_5,dof_pos_6,dof_pos_7,dof_pos_8,dof_pos_9,dof_pos_10,dof_pos_11,dof_vel_0,dof_vel_1,dof_vel_2,dof_vel_3,dof_vel_4,dof_vel_5,dof_vel_6,dof_vel_7,dof_vel_8,dof_vel_9,dof_vel_10,dof_vel_11
10,0.31708646,-0.051991552,-0.050286256,-0.034434598,-0.011567299,-0.99934,1.0,0.0,0.0,0.01682336,-0.041707236,0.16273034,-0.06750727,-0.01873374,0.050819878,0.13862526,0.027664665,0.1416161,0.020008802,-0.08554047,0.13169831,-0.47578818,-0.15088293,-0.16544281,0.23785579,0.36412793,0.2327801,0.39921692,-0.065189704,0.090018325,-0.12550917,-1.2330772,0.25576302,0.5152758,0.24873623,-0.4057096,0.7533261,-0.0732099,0.4028302,-0.62099314,0.78163666,-0.8062196,0.26706636,-0.10621911,-0.70139164,125.12004581698267,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,200.0,151.93589066260313,-10.144840492554522,0.01682336,-0.041707236,-0.6372697,1.5324928,-0.81873375,0.050819878,0.13862526,0.027664665,-0.6583839,1.6200088,-0.8855405,0.13169831,-9.515763,-3.0176585,-3.3088562,4.757116,7.2825584,4.655602,7.9843383,-1.303794,1.8003665,-2.5101833,-24.661543,5.11526
11,-0.31765395,0.51431876,-0.0150347855,-0.02404062,-0.010300101,-0.9996579,1.0,0.0,0.0,-0.020272233,-0.042871304,0.09267849,0.014641643,-0.021146774,0.15772659,0.16711336,0.039306294,0.11396372,0.03531313,-0.22466344,0.070796706,0.042802624,0.11622176,-0.49893656,0.5440886,-0.11001881,0.5336787,-0.067708544,0.1598988,-0.3263213,0.24104504,-0.25537857,-0.7618267,0.6631823,-0.10524693,1.4536881,-0.909836,0.12504612,-0.5436694,-0.62421906,-0.56038237,1.2001526,-1.0329614,0.7715605,0.03197134,-200.0,200.0,-200.0,200.0,200.0,-200.0,200.0,200.0,-200.0,200.0,3.7954702473022053,-43.546287784641265,-0.020272233,-0.042871304,-0.7073215,1.6146417,-0.8211468,0.15772659,0.16711336,0.039306294,-0.6860363,1.6353132,-1.0246634,0.070796706,0.85605246,2.3244352,-9.978731,10.881772,-2.2003763,10.673574,-1.3541708,3.197976,-6.526426,4.820901,-5.1075716,-15.236533
12,0.21934196,-0.045349423,-0.03285266,-0.015755389,-0.010361815,-0.9998222,1.0,0.0,0.0,0.038478374,-0.044168323,0.032068014,0.08841741,0.0180704,0.16170344,0.097919196,0.046190504,0.09444475,0.042610407,-0.17001176,0.018388763,0.49814844,-0.08813559,-0.13619633,0.2326781,0.23227377,-0.40264365,-0.5747489,-0.055673476,0.08432662,-0.12537217,0.70620066,0.012438745,-0.197196,0.04518518,0.38032952,-0.9646353,-0.34824646,-0.35273117,0.14359272,-0.028618276,0.17851053,-0.9696178,0.44189054,0.39530593,-200.0,-200.0,200.0,-200.0,200.0,28.949772576172315,200.0,-51.21875234405759,200.0,-200.0,-17.589057022268776,-200.0,0.038478374,-0.044168323,-0.767932,1.6884174,-0.7819296,0.16170344,0.097919196,0.046190504,-0.70555526,1.6426104,-0.9700118,0.018388763,9.962969,-1.7627119,-2.7239265,4.653562,4.6454754,-8.052873,-11.494977,-1.1134695,1.6865324,-2.5074434,14.124013,0.2487749
13,0.06322301,-0.3117467,0.12083585,-0.024589375,-0.015527849,-0.99957705,1.0,0.0,0.0,0.08391972,-0.045989316,0.037981153,0.10049105,-0.03903234,0.0076260976,0.037201535,0.036261756,0.12916094,-0.01020813,0.024967015,0.11236522,0.011485239,0.04580448,0.1474069,-0.082370475,-0.6231581,-0.79113054,-0.08623217,-0.04159557,0.22367723,-0.3641604,0.91378796,0.61530447,-1.0001713,0.16868739,-0.60565054,0.040824257,-1.3466096,0.4115325,0.8299637,0.5244135,-0.1625122,0.71757776,-0.6683585,-0.26947176,200.0,-87.75428825765232,-108.8884817123381,-200.0,-80.61452331717578,-42.15564971711683,-200.0,147.39420183824814,200.0,-200.0,-39.80514224153694,69.24124819175199,0.08391972,-0.045989316,-0.76201886,1.7004911,-0.83903235,0.0076260976,0.037201535,0.036261756,-0.6708391,1.5897919,-0.775033,0.11236522,0.22970477,0.91608953,2.948138,-1.6474094,-12.463161,-15.822611,-1.7246433,-0.8319114,4.4735446,-7.2832074,18.275759,12.306089
14,-0.52770823,0.27617875,0.1487635,-0.024394056,-0.0049452544,-0.9996902,1.0,0.0,0.0,0.035107903,-0.0133035835,0.040357232,0.08550048,-0.25828773,-0.047296777,0.071275145,0.054664623,0.11568469,0.0018228292,0.01663965,0.090935834,-0.45246798,0.25882006,-0.097189486,-0.06238678,-1.405733,0.15067387,0.39420348,0.20437896,-0.2720826,0.27895692,-0.5832383,-0.5923595,0.4531485,-0.9692117,-0.30138358,-0.31675696,0.123513564,0.6795075,-0.75789845,-0.5113533,0.52146226,0.13571206,0.16432847,-0.26083666,200.0,200.0,-200.0,200.0,-200.0,-200.0,-200.0,137.55080154607458,-200.0,-25.814942687891318,-200.0,200.0,0.035107903,-0.0133035835,-0.7596428,1.6855005,-1.0582877,-0.047296777,0.071275145,0.054664623,-0.6843153,1.6018229,-0.78336036,0.090935834,-9.049359,5.176401,-1.9437897,-1.2477356,-28.114658,3.0134773,7.8840694,4.0875793,-5.441652,5.5791383,-11.664766,-11.84719
15,0.0761404,0.3424621,-0.11943738,-0.011879882,0.0028680582,-0.9999253,1.0,0.0,0.0,0.0016616709,0.008950002,0.016940534,0.06046772,-0.4305932,0.09384821,0.093479194,0.066520564,0.075481296,0.041796684,0.00351727,-0.029047295,0.06896433,-0.01448883,-0.14206323,-0.17596386,-0.4177079,1.1411701,-0.11763825,-0.056433167,-0.14037238,0.14656818,0.29411986,-0.5082769,0.4023099,-0.52391857,0.9324774,-0.45779884,0.58789194,-0.41829035,-0.43627653,0.19980265,1.3720789,-0.708067,-0.35222197,0.69499534,-200.0,-200.0,200.0,37.35684912805314,73.3954976543838,46.2926067669776,200.0,-200.0,-200.0,-200.0,200.0,154.90512730170326,0.0016616709,0.008950002,-0.7830595,1.6604677,-1.2305932,0.09384821,0.093479194,0.066520564,-0.7245187,1.6417967,-0.79648274,-0.029047295,1.3792866,-0.2897766,-2.8412645,-3.519277,-8.354157,22.823402,-2.352765,-1.1286633,-2.8074474,2.9313636,5.882397,-10.165537
16,0.058568496,-0.26205343,-0.12712017,-0.011621957,9.8885044e-05,-0.99993247,1.0,0.0,0.0,0.07093184,-0.0023809676,0.029329658,-0.011447787,-0.4094717,0.21896806,0.016836137,0.061871257,0.09346831,0.036404848,-0.042936563,-0.027946906,0.56998295,-0.08835762,0.2305804,-0.5102789,0.53405565,0.20396045,-0.60211504,-0.0037379458,0.2755457,-0.16926996,-0.60599464,0.42635742,-0.715219,0.53785,0.06045984,0.7053384,0.045734692,-0.57818985,0.39073247,0.4339413,-0.6837621,0.20290923,-0.90638393,0.4649569,-200.0,200.0,200.0,-200.0,-71.28108388011196,200.0,157.41765759124337,-200.0,200.0,-200.0,200.0,-200.0,0.07093184,-0.0023809676,-0.77067035,1.5885522,-1.2094717,0.21896806,0.016836137,0.061871257,-0.7065317,1.6364049,-0.8429366,-0.027946906,11.399658,-1.7671524,4.611608,-10.205578,10.681113,4.079209,-12.0423,-0.07475892,5.5109134,-3.3853993,-12.119892,8.527148
17,-0.5274755,-0.14661118,0.055928927,-0.019432345,0.010730456,-0.9997536,1.0,0.0,0.0,0.108781695,0.026758883,0.028853774,-0.016104579,-0.26165193,0.13924593,-0.045335278,0.0849581,0.120492816,0.04039395,-0.2633807,0.12272522,-0.066313006,0.2814518,-0.059809852,0.09493025,0.6696458,-0.8597312,-0.07744427,0.22629769,0.019298248,0.17294875,-1.3575763,0.74602854,-0.9255327,-1.0025065,-0.26000243,0.6700154,-0.60413814,0.112095006,0.7301897,-0.99430525,-0.3235735,-0.27643496,0.49715132,-0.5382232,200.0,200.0,-200.0,191.1382576373386,35.68989282308894,-61.60071755264744,-200.0,200.0,115.41073625125442,200.0,-56.45912096231598,-200.0,0.108781695,0.026758883,-0.77114624,1.5838954,-1.061652,0.13924593,-0.045335278,0.0849581,-0.6795072,1.640394,-1.0633807,0.12272522,-1.3262601,5.629036,-1.196197,1.8986049,13.392916,-17.194624,-1.5488853,4.525954,0.38596496,3.4589748,-27.151525,14.92057
18,0.22237201,0.4880267,0.063721634,-0.010986119,0.01540913,-0.9998209,1.0,0.0,0.0,0.044918045,0.05308663,-0.019439757,0.03966844,-0.2330175,0.07244634,-0.008151488,0.10284906,0.09626275,0.058297038,-0.42670816,0.16893087,-0.52240175,0.017537719,-0.3846028,0.42659774,-0.28788003,0.038250778,0.40372506,-0.030041704,-0.23552422,0.025187645,-0.37475488,-0.1905728,0.55351627,-0.3507888,0.9961032,-1.0879052,0.14361621,0.5738395,-0.21030217,-0.05458662,0.015056362,-0.7492348,0.50935,-0.34776607,200.0,-200.0,-200.0,-200.0,200.0,-200.0,-200.0,-200.0,-139.96942619541318,200.0,-200.0,83.08318775047724,0.044918045,0.05308663,-0.81943977,1.6396685,-1.0330175,0.07244634,-0.008151488,0.10284906,-0.70373726,1.6582971,-1.2267082,0.16893087,-10.448034,0.35075435,-7.6920557,8.531955,-5.757601,0.76501554,8.074501,-0.6008341,-4.7104845,0.5037529,-7.4950976,-3.811456
19,0.666846,0.25029278,0.16506699,0.002373411,-0.0042336243,-0.9999882,1.0,0.0,0.0,-0.004801067,0.028501557,-0.071312666,0.090955615,-0.18603104,0.18420953,0.014134726,0.07361492,0.07544428,0.034116745,-0.39478904,0.037856326,-0.029508863,-0.23217864,-0.16659287,0.11626653,0.626774,0.8282222,-0.119986415,-0.21465746,-0.026333192,-0.23105596,0.5984909,-0.8274652,0.7657205,0.5276785,1.0456995,-0.9224991,0.2963904,-0.5274472,-0.6572956,1.1696993,0.75430995,0.1278381,0.26258957,0.287286,-200.0,-60.86483505193942,-83.27859223110235,-200.0,200.0,43.415950596415996,200.0,-200.0,200.0,-200.0,109.67434704736422,-22.474872948051825,-0.004801067,0.028501557,-0.8713127,1.6909556,-0.98603106,0.18420953,0.014134726,0.07361492,-0.72455573,1.6341168,-1.194789,0.037856326,-0.59017724,-4.643573,-3.3318572,2.3253305,12.53548,16.564444,-2.3997283,-4.293149,-0.52666384,-4.621119,11.969818,-16.549303
