step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11,dof_pos_0,dof_pos_1,dof_pos_2,dof_pos_3,dof_pos_4,dof_pos_5,dof_pos_6,dof_pos_7,dof_pos_8,dof_pos_9,dof_pos_10,dof_pos_11,dof_vel_0,dof_vel_1,dof_vel_2,dof_vel_3,dof_vel_4,dof_vel_5,dof_vel_6,dof_vel_7,dof_vel_8,dof_vel_9,dof_vel_10,dof_vel_11
10,0.04574359,0.04529599,-0.010509278,-0.06234372,0.0067098024,-0.9980322,1.0,0.0,0.0,-0.0021498818,0.050627485,0.03180462,0.12425721,-0.17960137,0.00037847948,-0.007864391,0.013575142,0.09698421,0.14139462,-0.48238307,-0.076043986,0.2967839,-0.018269345,-0.076633304,0.10285429,0.2391274,0.518087,-0.30876324,-0.058755755,-0.046241324,-0.0041026394,0.6624351,0.1824656,-0.340777,0.4878289,0.051533055,-0.104517,0.28363204,0.16054334,0.6695413,-0.1737109,0.080852695,-0.5814436,-0.23925,0.4573219,161.52608,-15.718277,-205.83887,-24.953857,214.37137,194.34573,-128.25104,-507.2719,-229.09138,0.46566772,197.28156,185.19498,-0.0021498818,0.050627485,-0.7681954,1.7242572,-0.9796014,0.00037847948,-0.007864391,0.013575142,-0.7030158,1.7413946,-1.2823831,-0.076043986,5.935678,-0.3653869,-1.5326661,2.0570858,4.782548,10.36174,-6.175265,-1.1751151,-0.9248265,-0.08205279,13.248702,3.649312
11,0.03748623,-0.10922706,0.029623084,-0.06441953,0.005351921,-0.9979086,1.0,0.0,0.0,0.019175578,0.05186238,0.024924338,0.13274443,-0.065950155,0.06058572,-0.028512025,-0.0048917644,0.09640938,0.12935019,-0.38427883,0.038434733,-0.056055535,0.018820608,-0.0077499086,0.0092707975,0.66829586,0.1847568,0.049713608,-0.109324075,0.018269684,-0.05732557,0.39968553,0.83812106,-0.3888725,-0.13936579,-0.068689,0.007266339,-0.796112,-0.47040617,0.11986083,0.10805619,0.24531099,-0.39922208,-1.2367055,-0.36700502,-214.73543,-139.10208,-221.81053,211.35197,-292.01047,-155.39362,122.43027,48.08313,153.3569,455.4048,-24.499924,61.385174,0.019175578,0.05186238,-0.7750757,1.7327445,-0.86595017,0.06058572,-0.028512025,-0.0048917644,-0.70359063,1.7293502,-1.1842788,0.038434733,-1.1211107,0.37641215,-0.15499817,0.18541595,13.365917,3.6951358,0.9942722,-2.1864815,0.36539367,-1.1465114,7.9937105,16.76242
12,0.14331047,-0.14987783,-0.19253707,-0.07019913,0.0011492082,-0.99753237,1.0,0.0,0.0,-0.030836247,0.052720204,0.025519371,0.1340841,-0.025503337,0.020346293,0.0072574792,-0.014473246,0.1132431,0.122143626,-0.37178868,0.11865337,-0.41358733,-0.01573809,0.00933488,-0.024978986,-0.13423629,-0.50651973,0.22737737,-0.006695074,0.13690454,-0.048676275,-0.21885298,0.05327891,0.2874546,0.12495988,-0.28949898,-0.24846052,-0.6835208,0.07521035,-0.16008542,0.46675324,-0.50499594,-0.5348181,-0.38672778,-0.73593974,-196.95648,-138.50125,-196.37114,-196.35738,-211.14096,-196.97928,0.95215034,277.8755,244.69592,57.239746,-179.49295,-218.79951,-0.030836247,0.052720204,-0.77448064,1.7340841,-0.82550335,0.020346293,0.0072574792,-0.014473246,-0.6867569,1.7221437,-1.1717887,0.11865337,-8.271747,-0.3147618,0.18669759,-0.49957973,-2.6847258,-10.130395,4.5475473,-0.13390148,2.7380908,-0.97352546,-4.3770595,1.0655782
13,-0.2364872,0.45761156,-0.14135014,-0.06294463,0.003915372,-0.9980093,1.0,0.0,0.0,-0.06856637,0.0657172,0.010314167,0.117938995,-0.12965053,-0.010224109,0.015843503,0.0003174503,0.11387056,0.10906613,-0.38382846,0.043193303,0.0022923003,0.11783507,-0.14944091,-0.1477513,-0.82302755,0.11118388,-0.11020632,0.1291946,-0.09552056,-0.08625553,-0.00757482,-0.7288479,0.6201274,-0.39697504,0.8401404,0.18136391,-0.095561415,0.4717748,-0.44690976,-0.48261547,0.38296315,-0.3117085,-0.089885324,0.12967783,202.35023,30.475857,-179.27747,-217.62706,-199.5571,100.21098,-167.85677,74.38292,-163.23691,-135.78232,9.927056,-225.46642,-0.06856637,0.0657172,-0.78968585,1.717939,-0.92965055,-0.010224109,0.015843503,0.0003174503,-0.68612945,1.7090662,-1.1838285,0.043193303,0.045846004,2.3567014,-2.9888182,-2.955026,-16.46055,2.2236776,-2.2041264,2.583892,-1.9104112,-1.7251105,-0.1514964,-14.576959
14,0.36520737,-0.2812539,-0.13641468,-0.061183278,-0.0005656205,-0.9981264,1.0,0.0,0.0,-0.03165055,0.05749757,0.0031731129,0.11581576,-0.20768386,0.08127782,-0.0363731,-0.009747901,0.11796576,0.09003317,-0.32161707,-0.036163103,0.33651692,-0.15449306,0.05067393,0.061665744,-0.06557912,0.74836856,-0.39455613,-0.20097928,0.13077377,-0.12143407,0.5019532,-0.09460703,-0.38280684,0.31990504,0.08949175,0.5126215,0.25639594,-0.04168441,0.5552142,0.3661132,-0.19427961,0.24434046,-0.46503267,0.78194547,188.78696,-86.77759,160.90399,133.93459,197.1044,163.13492,-139.22375,-460.61572,128.39337,-43.291733,35.670105,197.43735,-0.03165055,0.05749757,-0.7968269,1.7158158,-1.0076839,0.08127782,-0.0363731,-0.009747901,-0.68203425,1.6900332,-1.1216171,-0.036163103,6.730338,-3.0898612,1.0134786,1.2333149,-1.3115823,14.967371,-7.8911223,-4.0195856,2.6154754,-2.4286814,10.039063,-1.8921406
15,-0.17567317,-0.1853814,0.08581387,-0.07038,-0.0032323867,-0.99751496,1.0,0.0,0.0,-0.011817558,0.055320892,0.0114097,0.1419704,-0.14713395,0.15322097,-0.06982014,-0.024756467,0.120925486,0.09991372,-0.29498655,0.020159155,-0.094814494,0.10338674,0.03062588,0.18583958,0.6041628,0.04148091,0.01770578,0.02948008,-0.07234755,0.18346497,-0.16866115,0.589501,-0.4181798,-0.22197162,-0.29482245,-0.3760419,-0.42816615,-0.6598411,0.24611214,0.018030629,-0.041986562,-1.1355181,-0.8660972,-0.10573909,-199.82045,198.32898,135.20233,183.98904,200.3218,-200.20107,200.16699,198.82143,-200.38077,124.17607,-199.9191,199.96692,-0.011817558,0.055320892,-0.7885903,1.7419704,-0.94713396,0.15322097,-0.06982014,-0.024756467,-0.6790745,1.6999137,-1.0949866,0.020159155,-1.8962898,2.0677347,0.6125176,3.7167914,12.083256,0.82961816,0.35411558,0.5896016,-1.446951,3.6692994,-3.3732228,11.79002
16,0.059011847,0.38420224,0.05870208,-0.06450606,-0.0011942593,-0.9979166,1.0,0.0,0.0,-0.07219905,0.063462935,0.00067049265,0.1666714,-0.09938437,0.086713076,-0.024384089,-0.020479634,0.09002167,0.119648576,-0.40231615,0.063807964,-0.4692603,-0.0071478607,-0.11512246,0.0739946,-0.060109206,-0.63866925,0.4004098,0.008439685,-0.2016866,0.021151295,-0.8388664,-0.0859131,0.40257907,-0.14450103,0.42143252,-0.8237797,-0.3662338,0.22390625,0.16008091,0.42609918,0.5935742,-0.73312443,0.32785627,-0.6917599,-198.74292,-166.49803,-204.06526,-218.02376,-200.19856,-199.38995,203.96968,-17.175648,-92.27762,-224.26334,-199.6767,-202.13042,-0.07219905,0.063462935,-0.7993295,1.7666714,-0.8993844,0.086713076,-0.024384089,-0.020479634,-0.70997834,1.7196486,-1.2023162,0.063807964,-9.385206,-0.14295721,-2.3024492,1.479892,-1.2021841,-12.773385,8.008196,0.1687937,-4.033732,0.42302588,-16.777328,-1.718262
17,0.003995798,-0.17915621,-0.142309,-0.06141659,-0.0024301016,-0.9981092,1.0,0.0,0.0,-0.12059464,0.052859243,0.012369454,0.15189564,-0.17108226,0.036974516,0.050212808,-0.010537926,0.086122274,0.093126774,-0.4962508,-0.030222557,-0.057505023,-0.095500074,0.20060909,-0.19658285,-0.456566,0.07016184,0.32480747,0.088757664,0.12931477,-0.258684,-0.16787267,-0.7850254,0.55019766,0.24825789,-0.34318686,-0.10155474,0.13418855,0.6954053,-0.77283347,-0.52680784,0.1635488,0.009987697,0.43517768,0.38072965,198.75415,-203.8381,187.16821,-227.18895,18.045568,199.98921,-73.001656,187.9955,183.64417,-228.80414,200.4147,-200.45753,-0.12059464,0.052859243,-0.78763056,1.7518957,-0.97108227,0.036974516,0.050212808,-0.010537926,-0.71387774,1.6931268,-1.2962508,-0.030222557,-1.1501005,-1.9100015,4.0121818,-3.931657,-9.13132,1.4032367,6.496149,1.7751533,2.5862954,-5.1736803,-3.3574533,-15.700508
18,0.03278211,-0.02066513,-0.34246045,-0.06487128,-0.0036479272,-0.997887,1.0,0.0,0.0,-0.08434348,0.03966144,0.042171836,0.09830952,-0.1860792,0.12594853,0.07526852,-0.004041728,0.09623623,0.07151079,-0.45478934,-0.09613134,0.37639838,-0.045519844,0.10690334,-0.3154246,0.23683646,0.7514314,-0.036792558,-0.029177193,0.0043887435,-0.060244825,0.48452383,-5.7365305e-05,-0.118300475,0.29721746,-0.030709233,0.11293851,0.20699157,-0.01395934,-0.20524517,0.068629876,0.15685283,0.52918684,-0.617218,0.49010685,202.22993,203.42863,-181.6265,-135.73949,200.28346,199.91614,-185.54495,-341.0641,-68.69109,14.492874,174.94759,200.87827,-0.08434348,0.03966144,-0.7578282,1.6983095,-0.9860792,0.12594853,0.07526852,-0.004041728,-0.7037638,1.6715108,-1.2547894,-0.09613134,7.5279675,-0.9103969,2.1380668,-6.3084917,4.736729,15.028627,-0.73585117,-0.58354384,0.087774865,-1.2048965,9.690476,-0.0011473061
19,-0.32142264,-0.056737017,0.07818425,-0.06610421,0.0028617606,-0.9978086,1.0,0.0,0.0,-0.052972343,0.048887387,0.04640323,0.06921232,-0.07500869,0.19258872,0.02807719,0.0002157948,0.09028298,0.086194515,-0.43233305,-0.024415888,-0.014092416,0.121841446,-0.025431136,-0.039438084,0.6628358,0.00658373,-0.39297667,0.06268415,-0.040876847,0.1660945,-0.19431904,0.6559292,-0.78486353,-0.39089584,-0.13217284,0.43390793,-0.8829921,-0.35410628,-0.08925371,-0.6223968,0.038775004,-0.24449547,-0.66400194,-0.36727306,-137.87575,195.5208,-128.70833,114.32019,-30.487194,-200.22313,-135.30807,78.83453,194.18683,197.91916,-198.72038,199.82495,-0.052972343,0.048887387,-0.7535968,1.6692123,-0.8750087,0.19258872,0.02807719,0.0002157948,-0.70971704,1.6861945,-1.2323331,-0.024415888,-0.2818483,2.4368289,-0.5086227,-0.7887617,13.256715,0.1316746,-7.8595333,1.253683,-0.8175369,3.3218899,-3.8863807,13.118584
