step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11,dof_pos_0,dof_pos_1,dof_pos_2,dof_pos_3,dof_pos_4,dof_pos_5,dof_pos_6,dof_pos_7,dof_pos_8,dof_pos_9,dof_pos_10,dof_pos_11,dof_vel_0,dof_vel_1,dof_vel_2,dof_vel_3,dof_vel_4,dof_vel_5,dof_vel_6,dof_vel_7,dof_vel_8,dof_vel_9,dof_vel_10,dof_vel_11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.582608e-05,0.0012920402,1.1921543,1.0741433,0.0042169597,-0.00021053404,6.1113526e-05,0.0020836648,1.1906246,1.0728502,0.0041135713,0.00018121366,0.0,0.0,-0.8,1.6,-0.8,0.0,0.0,0.0,-0.8,1.6,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.750608e-11,8.4936613e-10,1.1158847e-10,0.0,0.0,-1.0,1.0,0.0,0.0,-1.357929e-11,4.542701e-11,0.0,0.0,0.0,-1.7730331e-11,4.225294e-12,-1.2334994e-11,0.0,0.0,0.0,1.510277e-11,-8.1022015e-11,3.8454342e-10,4.624021e-10,-1.4643772e-09,-1.34572605e-11,-9.5907206e-11,2.6310064e-11,-1.10328705e-10,6.972604e-10,-2.1581033e-09,1.519203e-11,8.354832e-11,-0.0151904,0.23149928,-0.39871877,0.6359975,-0.8485808,-0.23981795,0.053758673,-0.65380996,0.1785453,0.19424142,-0.80371857,-0.646162,1.485174e-07,-1.4400993e-07,4.057309,-12.409887,1.4505399e-07,2.8995423e-08,2.683139e-08,8.251028e-07,4.0573087,-12.409887,1.3584646e-07,-1.3756491e-08,-1.357929e-11,4.542701e-11,-0.8,1.6,-0.8,-1.7730331e-11,4.225294e-12,-1.2334994e-11,-0.8,1.6,-0.8,1.510277e-11,-1.6204403e-09,7.690868e-09,9.248041e-09,-2.9287543e-08,-2.691452e-10,-1.918144e-09,5.2620125e-10,-2.206574e-09,1.3945208e-08,-4.3162064e-08,3.038406e-10,1.6709664e-09
2,0.08578471,-0.11121046,-0.37684047,-0.0024072977,-0.0017095237,-0.9999957,1.0,0.0,0.0,-0.004295773,0.0067998515,-0.016896129,0.035565972,-0.07354158,-0.06349124,0.012154526,-0.0022371898,0.0018142462,0.024091959,-0.074982524,-0.063427456,-0.027429983,0.056980062,-0.15346168,0.3127586,-0.6759781,-0.4373187,0.0642689,-0.004058255,0.014471059,0.23221336,-0.6735214,-0.5511217,-0.09871536,-1.004688,0.7482795,-1.5176051,0.45570314,0.15076797,-0.07133222,0.94191444,-0.62888396,-1.4060032,0.31014758,-0.0024909656,3.028863,212.56442,-193.98103,179.44525,-199.97096,13.330356,-17.877739,180.12416,238.7406,328.28668,-180.4612,-130.80035,-0.004295773,0.0067998515,-0.81689614,1.635566,-0.8735416,-0.06349124,0.012154526,-0.0022371898,-0.79818577,1.624092,-0.87498254,-0.063427456,-0.54859966,1.1396012,-3.0692334,6.255172,-13.519562,-8.746374,1.285378,-0.0811651,0.28942117,4.644267,-13.4704275,-11.022434
3,0.03374858,-0.03997193,0.08222301,-0.005299855,-0.004192485,-0.9999771,1.0,0.0,0.0,-0.029901667,0.011813513,-0.028337896,0.065286875,-0.13340849,-0.07369438,-0.0067169364,0.0030361789,-0.00084102154,0.056569934,-0.13108051,-0.10060784,-0.15442543,-0.0026811615,0.017528834,0.015896777,0.008679911,0.2660229,-0.15551862,0.056698352,-0.03208944,0.09969084,0.037548926,0.10219419,-0.37420785,0.9087843,-0.4062552,-0.9135627,0.40470433,0.4582374,-0.71566755,-0.99252105,0.9800731,-2.1827154,0.8058917,0.9241173,-8.719722,-203.77454,204.50468,-212.73895,200.13934,199.9654,-3.4654348,199.43188,-187.9636,-210.61226,200.26872,148.71208,-0.029901667,0.011813513,-0.8283379,1.6652869,-0.9334085,-0.07369438,-0.0067169364,0.0030361789,-0.80084103,1.65657,-0.9310805,-0.10060784,-3.0885084,-0.05362323,0.35057667,0.31793553,0.1735982,5.320458,-3.1103723,1.133967,-0.6417888,1.9938167,0.75097847,2.0438838
4,0.15400043,0.03827996,0.3810411,-0.0052113715,-0.008156691,-0.99995315,1.0,0.0,0.0,-0.109065585,0.01623189,-0.027278006,0.053736925,-0.05398941,0.052002262,-0.08173493,0.004052536,0.008414805,0.0434134,-0.048176825,-0.0038237388,-0.55962807,0.042593993,-0.004197975,-0.11910661,0.71569514,0.8910555,-0.55310744,-0.036937222,0.11042111,-0.20195189,0.72367877,0.7962406,0.7192061,-1.0978727,0.8508281,0.71302927,-0.6321021,-0.1161935,0.8688895,0.97843575,-0.9285507,-1.0869269,-0.76950973,-0.82799375,-76.72083,219.10019,-177.68533,-208.94353,201.43176,94.86802,-201.75273,-213.21861,184.2525,-225.91559,200.45729,199.45299,-0.109065585,0.01623189,-0.827278,1.653737,-0.8539894,0.052002262,-0.08173493,0.004052536,-0.7915852,1.6434134,-0.84817684,-0.0038237388,-11.192561,0.85187984,-0.0839595,-2.3821323,14.313903,17.82111,-11.062149,-0.73874444,2.2084222,-4.0390377,14.473575,15.924812
5,0.16674227,0.008800763,0.12840551,-0.004738674,-0.01441064,-0.99988496,1.0,0.0,0.0,-0.16398035,0.011302366,-0.033240855,0.05486965,0.0018027425,0.14314245,-0.15253045,-0.00032554773,0.02550584,0.012021542,-0.013933897,0.060703896,-0.064743415,-0.06416869,-0.037444122,0.07715763,-0.058512,0.13751632,-0.19597949,-0.009953161,0.07941781,-0.12190783,-0.24048586,-0.05531276,0.85993326,0.9276729,-0.30102396,0.019944426,-0.26326975,-0.7305671,0.21242112,-0.88367975,0.33860207,1.141589,-0.6512206,-0.13286106,199.93466,-201.35901,198.50941,184.02774,-200.09251,-200.10777,177.59474,148.8311,0.82473755,-20.41336,-215.06882,-219.41074,-0.16398035,0.011302366,-0.83324087,1.6548697,-0.79819727,0.14314245,-0.15253045,-0.00032554773,-0.7744942,1.6120216,-0.8139339,0.060703896,-1.2948682,-1.2833738,-0.7488824,1.5431526,-1.1702399,2.7503264,-3.9195898,-0.19906321,1.5883561,-2.4381566,-4.809717,-1.1062552
6,0.11065882,-0.055630177,-0.83838934,-0.005729715,-0.020069083,-0.9997822,1.0,0.0,0.0,-0.1331604,0.008719202,-0.04406154,0.07650828,-0.06444311,0.09092092,-0.14515188,-0.0016491823,0.041513205,0.016618848,-0.13572806,0.0017232606,0.33388838,0.031654734,-0.066738866,0.11283212,-0.4514762,-0.5850752,0.2272034,-0.004014228,0.09142233,0.1281859,-0.90814966,-0.33545926,-0.72814465,-1.1121565,0.76670223,-0.31182754,0.36543548,-0.27502933,0.7290258,1.0404181,-0.6739168,-1.0032331,0.77789587,-0.035316393,199.56776,199.28743,-196.48215,-216.85504,-28.085451,-200.1388,171.68988,-27.668259,263.56638,287.91675,-187.15282,23.485867,-0.1331604,0.008719202,-0.84406155,1.6765083,-0.8644431,0.09092092,-0.14515188,-0.0016491823,-0.7584868,1.6166189,-0.9357281,0.0017232606,6.6777678,0.63309467,-1.3347772,2.2566423,-9.029524,-11.701504,4.544068,-0.08028456,1.8284465,2.5637178,-18.162992,-6.709185
7,0.08260576,-0.024740528,-0.6527169,-0.0065983543,-0.024122715,-0.9996873,1.0,0.0,0.0,-0.108442016,0.012399629,-0.037932515,0.066554785,-0.07925719,-0.046092253,-0.06359469,0.0042424477,0.049725056,0.040867448,-0.23799282,-0.022561288,-0.04596649,0.0050037485,0.11075944,-0.1830856,0.23439346,-0.6169421,0.5517932,0.06259211,0.0017165713,0.110856175,-0.18862887,-0.046083596,-0.90596867,0.8955441,0.01484962,0.46940702,0.45884436,0.8540999,-0.76846766,-1.0333662,0.22038653,-1.4553419,0.7945664,0.48063868,-201.50516,-208.58698,202.24255,-217.71127,199.90074,74.39459,173.91362,250.1268,-243.94513,-112.98836,203.89326,20.674206,-0.108442016,0.012399629,-0.8379325,1.6665548,-0.8792572,-0.046092253,-0.06359469,0.0042424477,-0.75027496,1.6408675,-1.0379928,-0.022561288,-0.9193298,0.10007497,2.2151887,-3.661712,4.687869,-12.338842,11.035864,1.2518423,0.034331426,2.2171235,-3.7725773,-0.9216719
8,0.1992456,-0.4466522,-0.18095805,-0.016446104,-0.030265478,-0.9994066,1.0,0.0,0.0,-0.16653264,0.010162239,-0.025541067,0.06933701,0.019982338,-0.09047322,0.005818709,0.0012577034,0.06694043,0.04743731,-0.20440513,0.033809725,-0.5160838,-0.02391439,0.007900828,0.18404633,0.5676512,0.12978236,0.19297974,-0.07374043,0.14542738,-0.024137259,0.45217147,0.53548914,0.9595634,-1.0826234,0.044964433,-1.2189864,-0.67280674,1.5394098,-1.0587934,0.89209205,-0.7397579,-0.34776533,-0.10761746,-0.36786085,-257.8173,-44.269547,-297.04767,217.78085,43.444702,216.2256,-117.472404,-389.3861,-330.33893,-84.75038,160.84244,119.73886,-0.16653264,0.010162239,-0.8255411,1.669337,-0.7800177,-0.09047322,0.005818709,0.0012577034,-0.7330596,1.6474373,-1.0044051,0.033809725,-10.321675,-0.4782878,0.15801655,3.6809266,11.3530245,2.5956473,3.8595948,-1.4748086,2.9085474,-0.48274517,9.043429,10.709783
9,0.11199943,-0.28475022,0.01480246,-0.031050455,-0.03624253,-0.9988605,1.0,0.0,0.0,-0.22369343,-0.005741431,-0.01345396,0.08603358,0.04841733,0.011024859,0.0029199212,-0.007669404,0.08926046,0.038671494,-0.15369004,0.049945254,-0.105492845,-0.1239258,0.09217828,0.03321094,-0.23119462,0.7902201,-0.1891614,-0.020522386,0.08036025,-0.06817689,0.16486308,-0.28133696,1.4306307,0.8079638,0.82484204,-0.88339716,-0.83457905,-0.94054204,-0.5731118,-1.1068779,-1.4143678,-0.17478155,-0.9254856,-0.9649899,173.8772,-284.71094,238.48618,3.9354706,-219.73659,173.71805,-181.48596,69.736855,-132.1428,-104.53538,-38.969658,-225.1702,-0.22369343,-0.005741431,-0.813454,1.6860336,-0.7515827,0.011024859,0.0029199212,-0.007669404,-0.71073955,1.6386715,-0.95369005,0.049945254,-2.1098568,-2.4785159,1.8435655,0.6642188,-4.6238923,15.804401,-3.7832282,-0.41044772,1.6072049,-1.3635377,3.2972615,-5.626739
