step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11,dof_pos_0,dof_pos_1,dof_pos_2,dof_pos_3,dof_pos_4,dof_pos_5,dof_pos_6,dof_pos_7,dof_pos_8,dof_pos_9,dof_pos_10,dof_pos_11,dof_vel_0,dof_vel_1,dof_vel_2,dof_vel_3,dof_vel_4,dof_vel_5,dof_vel_6,dof_vel_7,dof_vel_8,dof_vel_9,dof_vel_10,dof_vel_11
10,-0.1275285,-0.22531892,-0.23770528,-0.03539175,-0.013035742,-0.9992885,1.0,0.0,0.0,0.090445995,0.018024448,-0.08009046,0.2041235,-0.22186452,0.14614044,-0.04915555,-0.08784924,0.0933159,0.18928218,-0.5695148,-0.123854,0.5395296,-0.016458938,0.103074186,-0.15256047,1.0444363,0.5577676,-0.39991516,0.02332907,0.20169786,-0.14154951,0.86419934,-0.06899341,-0.8092331,-0.3745659,0.09522359,0.077688605,0.022049949,-0.4779539,0.60536677,-0.5189146,-0.21841651,-0.71535325,-0.07662609,0.6886918,-200.0,200.0,45.420822277555175,-200.0,200.0,200.0,200.0,-200.0,200.0,-200.0,125.00565086075096,-58.21451024684973,0.090445995,0.018024448,-0.8800905,1.8041235,-1.0218645,0.14614044,-0.04915555,-0.08784924,-0.7066841,1.7892822,-1.3695148,-0.123854,10.790592,-0.32917875,2.0614836,-3.0512094,20.888725,11.155353,-7.998303,0.46658137,4.033957,-2.8309903,17.283987,-1.3798681
11,0.5155732,-0.291319,-0.106146656,-0.04651553,-0.022467745,-0.99866486,1.0,0.0,0.0,0.1347663,0.0029266053,-0.064293206,0.19906855,-0.10209584,0.13614547,-0.08558481,-0.11563133,0.13511622,0.14725542,-0.4007401,-0.02719746,-0.016795492,-0.15134256,0.13601314,-0.065769196,0.48256022,-0.50136095,0.0018193935,-0.26559713,0.16011024,-0.18243729,0.61118716,0.81559676,-0.37171206,1.0273844,0.11143003,0.35445076,-0.81229144,-0.1898093,0.6383669,1.1999844,0.01278881,-0.06878254,-0.6719793,-0.5134946,200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,93.66939792512,-176.70459858436473,-200.0,-200.0,0.1347663,0.0029266053,-0.8642932,1.7990686,-0.90209585,0.13614547,-0.08558481,-0.11563133,-0.6648838,1.7472554,-1.2007401,-0.02719746,-0.3359098,-3.026851,2.7202625,-1.3153839,9.651204,-10.027219,0.03638787,-5.3119426,3.2022047,-3.6487458,12.223743,16.311935
12,0.08358743,-0.30205542,0.027723059,-0.0587978,-0.033782832,-0.9976981,1.0,0.0,0.0,0.07798812,-0.0013351594,-0.03400421,0.19703722,-0.116001725,0.00888394,-0.044056144,-0.13550869,0.16040474,0.13336241,-0.3765219,0.057496622,-0.49641687,0.07457449,0.15597057,0.038056385,-0.51953876,-0.48026666,0.37856627,0.048617586,0.122407906,0.018499713,-0.23560743,0.10688424,-0.018257141,-0.08564958,-0.53234833,-0.3315659,-0.2845502,0.17755911,-0.35259992,0.58446836,-0.3452064,-0.8138324,-0.7217568,-0.41158882,200.0,200.0,-200.0,-200.0,-200.0,-200.0,-200.0,200.0,143.40778037589683,200.0,-200.0,116.67217166390719,0.07798812,-0.0013351594,-0.8340042,1.7970372,-0.91600174,0.00888394,-0.044056144,-0.13550869,-0.63959527,1.7333624,-1.1765219,0.057496622,-9.928337,1.4914898,3.1194115,0.7611277,-10.390775,-9.605333,7.5713253,0.97235173,2.448158,0.36999425,-4.7121487,2.1376848
13,0.016393967,0.28841877,0.33298647,-0.057576094,-0.035771284,-0.99770004,1.0,0.0,0.0,0.010574099,-0.0029502336,-0.028292656,0.20189762,-0.18197584,0.0069963625,-0.017057449,-0.11768803,0.15865064,0.15351522,-0.47186857,-0.0038287349,-0.245905,-0.06989128,-0.09477877,0.090237,-0.24098687,0.2632034,-0.062345315,0.115156785,-0.113416195,0.14121361,-0.45665035,-0.56743133,0.8856887,-0.17307688,0.37426585,-0.7304418,0.3006088,0.33617055,-0.25692067,0.05904229,0.70192575,-0.4550559,0.29889005,-0.062266607,-200.0,200.0,-200.0,-200.0,-77.35656885634694,-200.0,200.0,-95.87638046487706,-200.0,-200.0,81.99899662133237,160.81479388095696,0.010574099,-0.0029502336,-0.82829267,1.8018976,-0.98197585,0.0069963625,-0.017057449,-0.11768803,-0.6413494,1.7535152,-1.2718686,-0.0038287349,-4.9181,-1.3978256,-1.8955753,1.80474,-4.8197374,5.264068,-1.2469063,2.3031356,-2.268324,2.8242722,-9.133007,-11.348626
14,-0.0005550073,-0.40740228,0.3184091,-0.06039814,-0.035425372,-0.99754554,1.0,0.0,0.0,0.012674443,-0.023303524,-0.016536474,0.20734048,-0.12418491,0.10893328,-0.061364636,-0.093883805,0.17422092,0.15218616,-0.45724922,-0.04735906,0.22204617,-0.12184807,0.20509866,-0.058331024,0.7219929,0.49705157,-0.30230418,0.119205885,0.23147643,-0.11189752,0.5058093,-0.051656254,-0.21735948,0.58562076,-0.55294913,-0.5059394,0.2970516,-0.041218244,0.68885034,-0.7152961,0.013929673,-0.67661846,0.21953446,0.68394417,-113.68717377087859,191.77918540970308,200.0,-200.0,200.0,37.54012005961211,200.0,-185.38399988984375,200.0,-200.0,200.0,-41.99388787292554,0.012674443,-0.023303524,-0.8165365,1.8073405,-0.9241849,0.10893328,-0.061364636,-0.093883805,-0.6257791,1.7521862,-1.2572492,-0.04735906,4.440923,-2.4369614,4.101973,-1.1666205,14.439858,9.941031,-6.0460835,2.3841176,4.6295285,-2.2379503,10.116186,-1.033125
15,0.027563652,0.21884556,0.23001899,-0.06504742,-0.03499804,-0.99726826,1.0,0.0,0.0,0.0138866985,-0.02135172,-0.031476557,0.23139238,-0.04612446,0.08959931,-0.077397734,-0.075363345,0.20245898,0.1124531,-0.27533454,0.053416274,-0.20378199,0.047766674,-0.22085725,0.13758475,0.5592378,-0.33039472,0.103274904,0.0729252,0.06654686,-0.26489472,1.0527844,0.95916504,-0.06546828,0.3714528,-0.08195452,-0.041985232,-0.43085718,-0.057268254,0.3406613,0.099482134,0.41410205,0.14758247,-0.29087046,-0.4669728,200.0,-200.0,-200.0,-200.0,-36.942572097227185,200.0,-200.0,200.0,-200.0,-200.0,181.59025088329759,51.277838059976716,0.0138866985,-0.02135172,-0.83147657,1.8313924,-0.8461245,0.08959931,-0.077397734,-0.075363345,-0.59754103,1.7124531,-1.0753345,0.053416274,-4.0756397,0.9553335,-4.417145,2.751695,11.184755,-6.6078944,2.065498,1.4585041,1.3309371,-5.2978945,21.055689,19.1833
16,-0.50589526,-0.16631344,-0.16624539,-0.066832334,-0.024144169,-0.99747205,1.0,0.0,0.0,-0.018946009,0.015666265,-0.046468616,0.2325387,-0.03972733,0.026959803,0.0150569575,-0.04672601,0.20866984,0.12654269,-0.22996181,0.048675682,-0.1076653,0.29115716,0.0077800364,-0.09249863,-0.39792463,-0.19534165,0.6420407,0.25536722,0.11143643,0.05389163,-0.11709274,-0.5142307,0.53376824,-1.0795215,-0.0066279513,-0.48856914,-0.65438086,0.02928441,-0.3909213,-0.4605502,-0.060996465,-0.21502517,-0.70637155,-0.45320246,51.422219014064694,68.32660128646918,200.0,-19.488962080626678,-20.456744450669362,-200.0,18.43699310515514,200.0,-63.553595208190266,-200.0,-200.0,33.66041840485937,-0.018946009,0.015666265,-0.8464686,1.8325387,-0.83972734,0.026959803,0.0150569575,-0.04672601,-0.5913302,1.7265427,-1.0299618,0.048675682,-2.153306,5.823143,0.15560073,-1.8499726,-7.9584923,-3.906833,12.840815,5.107344,2.2287285,1.0778326,-2.3418548,-10.284615
17,0.004862682,0.11604456,-0.092232175,-0.06751988,-0.015650315,-0.9975952,1.0,0.0,0.0,0.009893309,0.044360396,-0.040934384,0.1912123,-0.2075904,0.025929071,0.08082995,-0.027327515,0.22040439,0.11836648,-0.34546715,-0.109703936,0.349786,0.02484821,0.029383922,-0.30236298,-0.9627943,0.0155430185,0.080488086,-0.04141883,0.018156145,-0.119703166,-0.7657532,-0.7512179,-0.024907336,-0.40943724,-0.13528852,-0.25016063,0.29899907,0.09749366,-0.62779576,0.016209051,-0.12876597,-0.4026999,0.05177471,0.5802807,-200.0,-200.0,-200.0,-200.0,29.580031009559093,64.92407056182583,200.0,-200.0,39.29152536041647,-200.0,60.200746314793946,-8.703819288270019,0.009893309,0.044360396,-0.8409344,1.7912123,-1.0075904,0.025929071,0.08082995,-0.027327515,-0.5795956,1.7183665,-1.1454672,-0.109703936,6.99572,0.4969642,0.58767843,-6.0472593,-19.255886,0.31086037,1.6097617,-0.82837665,0.36312288,-2.3940632,-15.315063,-15.024358
18,0.09071783,0.56509435,0.55075014,-0.053097423,-0.017607277,-0.9984341,1.0,0.0,0.0,0.022180274,0.038896855,-0.050821304,0.16744125,-0.24672097,0.04520676,0.04072476,-0.03839467,0.20260799,0.102876544,-0.3698613,-0.13466914,-0.06619487,-0.064802,-0.10076179,-0.09723959,0.31924757,0.117414884,-0.42052016,-0.0627253,-0.17466831,-0.108316295,0.3467953,0.32563594,-0.6154204,0.7716436,0.76264435,0.7427124,0.4878235,0.42270035,0.40524983,0.3693183,1.0827435,0.80718833,0.2663525,0.56087154,-200.0,200.0,-200.0,-200.0,200.0,200.0,20.697447935019525,-200.0,8.279909517750383,-200.0,200.0,-200.0,0.022180274,0.038896855,-0.8508213,1.7674413,-1.046721,0.04520676,0.04072476,-0.03839467,-0.597392,1.7028766,-1.1698613,-0.13466914,-1.3238974,-1.2960399,-2.015236,-1.9447918,6.384951,2.3482976,-8.410403,-1.2545059,-3.4933662,-2.1663258,6.935906,6.5127187
19,-0.46630648,-0.120689034,0.6257392,-0.046099115,-0.007990152,-0.99890494,1.0,0.0,0.0,-0.044692177,0.05477797,-0.045390904,0.1593337,-0.080852926,0.14662306,0.018389191,-0.017683437,0.18973267,0.09890568,-0.22091287,0.032114968,-0.5576609,0.19870295,0.1384716,0.0044861524,1.1654234,0.5876646,0.13720997,0.23748581,0.022930356,0.049392577,0.99705946,1.1133121,0.36721218,-0.92429525,-0.33078092,-0.21812534,-0.18265046,-0.039248206,0.7288093,-1.039382,0.75806904,-1.0690297,-0.052421242,-0.27761665,200.0,200.0,200.0,200.0,29.697517129026778,-20.408596467250845,-200.0,200.0,200.0,200.0,32.83933320758638,-32.521999277893315,-0.044692177,0.05477797,-0.8453909,1.7593337,-0.88085294,0.14662306,0.018389191,-0.017683437,-0.61026734,1.6989057,-1.0209129,0.032114968,-11.153217,3.9740589,2.769432,0.08972305,23.308468,11.753292,2.7441993,4.7497163,0.4586071,0.9878515,19.941189,22.266243
